Publisher,Language,Author,Summary,Published Date,ISBN-10,ISBN-13,Type,Book Title,Price,Binding,Pages,Product Dimensions
Phi Learning,English,"Allen Colin, Hand Michael","This concise, clear and intelligently sequenced text gives a rigorous introduction to natural deduction systems of sentential and first-order logic. It is intended for a one-semester course in which propositional logic and predicate logic are introduced. The text consists of definitions, examples, comments and exercises. While it is student-oriented, the concise definitions and comments would require the assistance of the instructor. For, the text lends flexibility to the instructor to explain the principles, keeping in mind the audience. The book begins with a detailed discussion on Sentential Logic and covers such topics as basic logical notions, primitive rules of proof, and sequents and derived rules. It then goes on to give a description of Truth Tables, which includes an analysis of truth tables of sentences and sequents and indirect truth tables. Besides, it provides a comprehensive coverage of predicate logic. The text concludes with a description of Models. Exercises provided in each section and Answers to Selected Exercises at the end of the book should prove to be of considerable assistance to the students in comprehending the subject with greater ease. Students as well as teachers of philosophy should find this as a motivating and first choice book on logic. An innovative interactive website http://mitpress.mit.edu/LogicPrimer/, consisting of a Logic Daemon and a Quizmaster, encourages students to formulate their own proofs and provides links to appropriate explanations in the book.",2004,8120325303,9788120325302,Book,Logic Primer,Rs. 495.00,Paperback,216,-
S. Godage & Brothers,English,W.S Karunathilaka,"Selected Articles on Middle Indo - Aryan, Sinhala, Tamil and Sri Lankan Gypsy Telugu Languages",2011,-,9789553032492,Book,Link,Rs. 800.00,-,332,8.5 x 5.5
Dreamtech Press,English,Timothy Perrett,,-,9350042922,9789350042922,Book,Lift In Action: Covers Lift 2.X ,"Rs. 2,600.00",-,424,-
Srishti Publishers & Distributors,English,Aporva Kala,"Like the Kumbh Fair, this book promises to open the doors of its readers' thinking, coaxing them to tarry for a few moments and re-examine their priorities in life.",2011,9380349503,9789380349503,Book,Life...Love...Kumbh... ,Rs. 960.00,Paperback,-,-
Asian Education Services,English,William Wilson Hunter,,1896,8120605667,-,Book,Life Of Brian Houghton Hodgson - British Resident At The Court Of Nepal ,"Rs. 8,800.00",-,390,-
Rupa publications,English,"Satheesh Namasivayam, Sivaram Bandhakavi",,2012,8128119384,9788128119384,Book,Leading Without Licence: Leadership The Anna Hazare Way ,Rs. 845.00,Paperback,158,7.75 x 5.1 Inches
Dreamtech Press,English,"Prof. Sham Tickoo, Manash Chatterjee",,2012-02-02,9350041222,9789350041222,Book,LEARNING AUTODESK REVIT STRUCTURE 2011 FOR DESIGNERS ,"Rs. 2,400.00",Paperback,416,-
Longman,English,Long Man,,01/04/2004,582854741,9780582854741,Book,Ldoce 4 (ie- ),"Rs. 1,305.00",Paperback,1968,-
Ministry of Labour Relations and Productivity Promotion Sri Lanka 2010,English,-,,-,-,9789558419175,Book,Labour Code of Sri Lanka,"Rs. 4,000.00",-,638,215mmX295mm
CBS Publishers & Distributors,English,Malik B. S.,,2006,8123904487,9788123904481,Book,"Lab. Manual Of Veterinary Microbiology, Part Ii, 4E ",Rs. 800.00,Paperback,-,-
CBS Publishers & Distributors,English,Malik B. S.,,2006,8123904134,9788123904139,Book,"Lab. Manual Of Veterinary Microbiology, Part 1, 4E ",Rs. 830.00,Paperback,-,-
BT OPTIONS,English,HEMALALLINDRE RANAWAKE,,-,-,9789550821006,Book,Kollu my way (H/B),"Rs. 6,000.00",-,157,220mm X 260mm
Motilal Banarsidass,English,Kaisa Puhakka,,-,842608044,-,Book,Knowledge And Reality A Comparative,Rs. 220.00,-,109,-
CreateSpace Independent Publishing,English,Jessica Long,"A beautiful princess, a handsome prince, and now a bonny baby and heir. Is theirs a fairytale to behold? The British Royal family has undergone a resurgence in popularity in recent years. At the time of the death of Diana, Princess of Wales, confidence in the monarch and her monarchy, was at an all-time low. But with lessons learnt, and a new generation of young Royals emerging, interest in the Royals is now on the up. Kate Middleton is the woman responsible for bringing the interest and attention back to the British Royal Family. Following her marriage to Prince William, and the birth of their first child, Prince George, the public once again feel like they have a ‘People’s Princess’ in their midst. Find out who Kate is, where she comes from, what her family are like, how she met the Prince and what lies ahead of them, in our behind the scenes look at this corner of the House of Windsor.",2014-04-01,1497301912,9781497301917,Book,"Kate: Loyal Wife, Royal Mother, Queen-In-Waiting ","Rs. 2,350.00",Paperback,48,-
Harpercollins,English,Rajendar Menen,"Rajendar Menen is a senior Mumbai-based journalist who has been writing on AIDS for many years. The street is his beat, and he has pounded it for many years, meeting people who live on the margins, empathizing with them, ferreting out their stories. He has visited brothels all over India, documenting the lives of the women who wind up in them. Karma Sutra is full of fascinating stories, stories that wrench your heart and give you goosepimples. Despite the dark lives of the subjects of the book, Menen s affection for them bathes the narrative in a warm glow. His own exploits he had to run for his life more than once give the book an additional zing.",2012,9350290941,9789350290941,Book,Karma Sutra: Adventures Of A Street Bum,"Rs. 1,330.00",Paperback,226,-
HarperCollinsChildren'sBooks,English,"Mary-kate Olsen, Ashley Olsen",Riley and Chloe's latest school assignment is to bring an adult they admire to school for career day. They don't want to ask their parents because they're afraid their parents will fight. So they bring Tedi (a model) and Manuelo (the family housekeeper) instead.,2002,7144504,9780007144501,Book,Just Between Us:mary Kate & Ashley,Rs. 850.00,7144504,112,-
Prentice Hall,English,"Simon Haykin,Michael Moher","Intended for use in undergraduate courses, this textbook discusses the techniques of wireless communications according to the evolution of spectral utilization of the radio channel. Chapters discuss topics like propagation and noise, modulation and frequency-division multiple access, coding and time",23 February 2004,130224723,9780130224729,Book,Modern Wireless Communications ,"Rs. 17,235.00",Paperback,576,9.36 x 7.23 x 1.04 inches
DevExp Publishing Sweeden,English,Nilani de Silva,,-,-,9789197843683,Book,Mind of the enemy,Rs. 950.00,-,217,160mm X 240mm
HarperCollins Publishers Ltd,English,C. S. Lewis,"As part of the repackaged and rebranded C.S. Lewis Signature Classic range, this title in which Lewis answers the question, 'Do miracles really happen?' will have obvious appeal to the growing spirituality market.",4 Feb 2002,6280943,9780006280941,Book,Miracles,"Rs. 2,400.00",Paperback,192,19.6 x 12.2 x 2 cm
Phi Learning,English,"Roy Sitesh Kumar, Mitra Monojit","The main objective of this comprehensive text is to introduce the students the physics and the operational principles as well as the characteristics, and applications of the microwave semiconductor devices. These devices are making a revolutionary change in the field of communication and rada As a result of the accelerating rate of growth of microwave technology in research and industry, students, engineers and scientists need to understand the theoretical and experimental design and analysis of these devices. The book also deals with higher frequency microwaves called millimeter waves, which are finding wide applications in ground and satellite communication, radars and missile guidance. Millimeter wave system development is one of the most advanced technologies in radio science, especially in view of the ever increasing demand of communication and saturation of microwave frequency range with increasing number of channels. The book discusses in greater detail about the semiconductor devices such as IMPATT diodes, Gunn diodes, HEMT diodes and FET diodes. It emphasizes on various two and three terminal devices in the microwave and millimeter wave field based on silicon and Groups III-V compound semiconducto The book is intended to serve as a textbook for undergraduate electronics and electrical engineering students and postgraduate students of physics. It would also be a valuable reference book for professional engineers and physicists.",30 October 2004,8120324188,9788120324183,Book,Microwave Semiconductor Devices ,Rs. 575.00,Paperback,204,-
W W Norton & Company,English,Gary Yohe Edwin Mansfield,,2010, 813090862X,9788130908625,Book,"Microeconomics, 11th Ed.","Rs. 2,865.00",-,-,-
Tata Mcgraw Hill Education Pvt,English,Larson,"Design and deliver insightful and interactive Web-based reports Transform your company s valuable data into easily shared information with help from this definitive resource. Written by a member of the development team, this hands-on guide covers everything from installation to administration and shows you how to create visually appealing reports with ease and accuracy. You ll get a firm understanding of the entire report-building process by following a case study throughout the course of the book. Learn first-hand how to extract data using Query Builder and master key tools such as the Report Wizard and Report Manager. Leverage the power of Microsoft s most powerful server-based reporting solution to improve business decision-making and facilitate company-wide--even worldwide--communication. Essential Skills for Database Professionals Follow steps to prepare for a smooth installation process Explore the ins and outs of the SELECT query and ensure data integrity Create cleanly designed interactive reports and deliver them in a timely manner Generate reports with the aid of the Report Wizard and from scratch Work with line, text box, and rectangle controls Add polish to your reports with images, color, and charts Control the properties of a report item using Visual Basic expressions Use the Report Manager to share information in a secure, managed environment",2004,70588678,9780070588677,Book,Microsoft SQL Server 2000 Reporting Services,Rs. 100.00,Paperback,-,-
Harper Collins,English,Len Deighton,"Long-awaited reissue of the second part of the classic spy trilogy, GAME, SET and MATCH, when the Berlin Wall divided not just a city but a world.",1985,586058214,9780586058213,Book,Mexico Set,"Rs. 1,765.00",Paperback,384,6.73 x 3.78 x 1.1 inches
Allen Lane,English,"Kanakalatha Mukund, Gurcharan Das","Sangam poetry dating back 2,000 years gives us a vivid description of ports and cities bustling with traders and markets which leaves us wondering at the vigorous trade that evidently flourished between the Tamil region and Rome and the Mediterranean world to the west, and South-East Asia to the east. The early medieval period takes us to a more complex polity dominated by the rise of powerful Tamil empires under the Pallava and Chola dynasties. The strengthening of the state apparatus was accompanied by the emergence of many administrative and representative institutions. In this larger landscape, merchants were key agents of growth and change. Towering over the region, both literally and figuratively, the temple emerged as the central, definitive institution dominating social and economic life in the region known as Tamilakam. The interface between the temple, state, society and merchants is the major theme of this study.",2012,670085219,9780670085217,Book,Merchants Of Tamilakam: Pioneers Of International Trade ,"Rs. 1,485.00",Hardcover,240,-
LIFCO PVT LTD,English,-,,-,-,-,Book,MEGA LIFCO DICTIONARY ,"Rs. 1,300.00",-,1560,-
Buddhist Cultural Centre,English,Godwin Samararatne,,2006,9551604024,-,Book,Meditation For Everyday Life,Rs. 150.00,-,95,-
Harper collin,English,Ray Bradbury,"The strange and wonderful tale of man's experiences on Mars, filled with intense images and astonishing visions.The classic work that transformed Ray Bradbury into a household name. Written in the age of the atom when America and Europe optimisitcally viewed the discovery of life on Mars as inevitable, Bradbury's 1940s short stories of a brutal, stark and unforgiving martian landscape were as shocking and visionary as they were insightful. 'The Martian Chronicles' tells the story of humanity's repeated attempts to colonize the red planet. The first men were few. Most succumbed to a disease they called the Great Loneliness when they saw their home planet dwindle to the size of a pin dot. Those few that survived found no welcome. The shape-changing Martians thought they were native lunatics and duly locked them up. More rockets arrived from Earth, piercing the hallucinations projected by the Martians. People brought their old prejudices with them -- and their desires and fantasies, tainted dreams. These were soon inhabited by the strange native beings, with their caged flowers and birds of flame.",1995,6479235,9780006479239,Book,Martian Chronicles (Flamingo Modern Classic),"Rs. 1,800.00",Paperback,240,7.6 x 4.9 x 0.9 inches
Dorling Kindersley India,English,Lilien G L,"Several forces are transforming the structure and content of the marketing profession. Marketers are seeing increasingly faster changes in the marketplace and are barraged with an ever increasing amount of information. While many view traditional marketing as art and some view it as science, the new marketing increasingly looks like engineering. This textbook, combined with a comprehensive collection of 26 leading-edge software models provides the student with the know-how and tools to collect the right information and perform analysis to make better marketing plans, better product designs, and better decisions. Our purpose in writing this book is to help educate and train a new generation of marketing managers. We aim to train marketing engineers to translate concepts into context-specific operational decisions and actions using analytical, quantitative, and computer modeling techniques. We link theory to practice and practice to theory.",2004,8129700050,9788129700056,Book,Marketing Engineering 2nd Edition,Rs. 975.00,Paperback,-,-
Thomson Publications,English,Hoffman,"For anyone seeking a more consistent format and pedagogy Marketing: Best Practices is a must. This ground-breaking text combines the best in production quality with renowned contributors providing inspirational chapters on their particular specialisms. Who could argue with Terrance Shimp on marketing communications, Jagdish Sheth on consumer behaviour and John Lindgren on marketing and the Internet? Above all, while maintaining the energy and style of its 16 authors, the text genuinely has a single voice through consistent chapter design and writing level. Key features include topical examples, case studies. Internet links and exercises, a wide range of questions plus learning objectives signalled throughout each chapter. ...Publishers seeking innovative and exciting texts would do well to use Marketing: Best Practices as a model."" -Sally Dibb, University of Warwick Times Higher Education Textbook Review --This text refers to an out of print or unavailable edition of this title.",2004,81243898X,9789812438980,Book,Marketing Best Practices,"Rs. 1,040.00",Paperback,650,-
Little Brown,English,Ronni Cooper,"Raine: Born in Brooklyn, the undisputed queen of the City, Raine owns the sexiest, starriest nightclub in New York - and no one is ever going to take her crown. Mei-Lin: The beautiful, enigmatic madam moves in all the right circles - but it wasn't always that way. Now her American dream has become a nightmare and she may have to pay the ultimate price for freedom. Stevie: Once the lead singer of the biggest female rock band in the world, Stevie is now flying solo – but she has a secret that could destroy her. Now all three women are about to discover that payback is the biggest bitch of all…",-,-,9780751542769,Book,Manhattan,"Rs. 1,290.00",-,439,125mm X 200mm
Harper,English,Len Deighton,Deep in Marxist Guerilla territory a hopeless war is being fought.,Sep 2011,7385854,9780007385850,Book,Mamista,"Rs. 1,765.00",Paperback,400,-
Titan Books Ltd,English,Greg Cox,,2013-06-18,1781165998,9781781165997,Book,Man of Steel: The Official Movie Novelization,"Rs. 1,500.00",Paperback,184,-
Public Affairs,English," Richard Dobbs,James Manyika,Jonathan Woetzel","Our intuition on how the world works could well be wrong. We are surprised when new competitors burst on the scene, or businesses protected by large and deep moats find their defenses easily breached, or vast new markets are conjured from nothing. Trend lines resemble saw-tooth mountain ridges. The world not only feels different. The data tell us it is different. Based on years of research by the directors of the McKinsey Global Institute, No Ordinary Disruption: The Four Forces Breaking all the Trends is a timely and important analysis of how we need to reset our intuition as a result of four forces colliding and transforming the global economy: the rise of emerging markets, the accelerating impact of technology on the natural forces of market competition, an aging world population, and accelerating flows of trade, capital and people. Our intuitions formed during a uniquely benign period for the world economy--often termed the Great Moderation. Asset prices were rising, cost of capital was falling, labour and resources were abundant, and generation after generation was growing up more prosperous than their parents. But the Great Moderation has gone. The cost of capital may rise. The price of everything from grain to steel may become more volatile. The world's labor force could shrink. Individuals, particularly those with low job skills, are at risk of growing up poorer than their parents. What sets No Ordinary Disruption apart is depth of analysis combined with lively writing informed by surprising, memorable insights that enable us to quickly grasp the disruptive forces at work. For evidence of the shift to emerging markets, consider the startling fact that, by 2025, a single regional city in China--Tianjin--will have a GDP equal to that of the Sweden, of that, in the decades ahead, half of the world's economic growth will come from 440 cities including Kumasi in Ghana or Santa Carina in Brazil that most executives today would be hard-pressed to locate on a map. What we are now seeing is no ordinary disruption but the new facts of business life-- facts that require executives and leaders at all levels to reset their operating assumptions and management intuition.",2015-06-10,1610395794,9781610395793,Book,No Ordinary Disruption: The Four Global Forces Breaking All the Trends,"Rs. 3,050.00",Hardcover,288,-
Harper Collins,English, Joseph O Connor,"A practical, creative guidebook to achieving the results you want using Neuro Linguistinc Programming techniques",2001,7100035,9780007100033,Book,NLP Workbook: A Practical Guide to Achieving the Results You Want,"Rs. 4,000.00",Paperback,294,-
Grapevine India Publishers Pvt. Ltd.,English,Sachin Garg,,2011,9381841006,9789381841006,Book,Never Let Me Go... ,Rs. 760.00,Paperback,-,-
Harper collins,English,Agatha Christie,,2002,7299761,9780007299768,Book,Nemesis,"Rs. 1,180.00",Paperback,-,-
Hachette,English,Chevy Stevens,What if murder was in your blood?,-,-,9780751545685,Book,Never Knowing,Rs. 970.00,-,485,135mmX125
HarperCollins Children's Books,English,Rook Hastings,"""Ive seen a ghost,"" said Emily. ""Well, not seen one exactly. Heard one. At least, I think I have…"" Everything has a rational explanation. Unless it doesnt. Welcome to Weirdsville… Woodsville is not like other towns. Night falls a little earlier there, the shadows are darker and denser, and everyone knows its a place where strange things happen. Even if they wont admit it. Bethan would prefer to be anywhere but here. Jay has his theories, but isnt ready to share. Hashim sees more than hell say, while Kellys demons are all too flesh and blood. But Emilys freak-out brings them out of denial and face to face with the supernatural. Anywhere else, Friday night would be date night. But not in Weirdsville…",27 May 2010,7384629,9780007384624,Book,Nearly Departed,"Rs. 1,600.00",Paperback,272,-
Kingfisher Books Ltd,English,Andrew Langley,"""Kingfisher Knowledge"" is a groundbreaking series for readers hungry for information on today's hot topics. Lively, engaging text, packed with information, accompanies stunning photographs that enhance each chapter. Amazing, state-of-the-art digital artwork guides readers into the fascinating heart of the subject. This learning adventure does not stop there - information panels throughout lead the reader to further discovery. Each chapter offers website links, book lists, places to visit and career information. ""Natural Disasters"" details the most catastrophic natural events that have shocked the world since history began. These are events that people have no control over - the sheer power of monster waves, booming avalanches, ground-shattering earthquakes, unstoppable floods, terrifying tornadoes and raging bushfires. Discover how rescue teams operate, and how experts try to predict and prevent disaster.",-,753413051,-,Book,Natural Disasters,Rs. 785.00,Hardcover,64,282x238x12mm
Eastern Book Linkers,English,P K Kaul,"This book, 'Nag Sen of Milind Panho' has been evaluated the ancient antiquity of mountain Valleys of Chinab, particularly that of Kashtwar and, its contribution to the evolution of Buddhism in the light of Nag Sen's biographical sketch. This book includes an introduction on Milind Panho, Menander and on the Capital of Menander as per Milind Panho, and also includes explanations on all the historical, geographical, archeological, numismatic, ethnic, linguistic and religious evidences. This book has been given thorough explanations on the connected sites, monuments and their archeological details relating to the topic.",1996,8186339183,-,Book,Nag Sen Of Milind Panho ,Rs. 770.00,-,145,-
Harper,English,Annie Groves,"An emotional portrayal of the lives of four women as Valentine's day approaches, in 1941 wartime London",2012-02-02,000736153X,9780007361533,Book,My Sweet Valentine,"Rs. 1,350.00",Paperback,400,-
Oxford University Press,English,Jim Corbett,"This book, dedicated to the 'poor of India', sketches with sympathy and concern, village India's life, traditions, and folklore. These stories reflect Corbett's intense love for India, her people, and her flora and fauna. Engaging and deeply evocative, My India is an indispensable supplement for anyone who has enjoyed reading Corbett.Table Of Contents    Introduction    The Queen of the Village    Kunwar Singh    Mothi    Pre-Red Tape Days    The Law of the Jungles    The Brothers    Sultana: India's Robin Hood    Loyalty    Budhu    Lalajee    Chamari    Life at Mokameh Ghat",1997,019562341X,9780195623413,Book,My India ,"Rs. 1,120.00",Paperback,188,8.5 x 5.43 x 0.51 inches
Harpercollins,English,Y. B. Satyanarayana,"Poised to inherit a huge tract of land gifted by the Nizam to his father, twenty-one-year-old Narsiah loses it to a feudal lord. This triggers his migration from Vangapally, his ancestral village in the Karimnagar District of Telangana – the single most important event that would free his family and future generations from caste oppression. Years later, it saves his son Baliah from the fate reserved for most Dalits: a life of humiliation and bonded labour. A book written with the desire to make known the inhumanity of untouchability and the acquiescence and internalization of this condition by the Dalits themselves, Y.B. Satyanarayana chronicles the relentless struggle of three generations of his family in this biography of his father. A narrative that derives its strength from the simplicitywith which it is told, My Father Baliah is a story of great hardship and greater resilience.",2011,9350290750,9789350290750,Book,My Father Baliah,"Rs. 1,665.00",Paperback,224,-
Penguin Book,English,Jeanne Cambrai,"When the body of a young English girl is found in one of the oldest and least attractive sections of Colombo, these are only some of the questions that pop into CV's mind. And when, to his surprise, her father comes and offers him the job of finding the murderer, CV, a computer whiz on leave from the US, finds himself an unlikely detective. Aided by his cousin, the gorgeous supermodel Maggie vander Marten, and his old and eccentric Aunt Maud, CV begins to ask questions, only to realize that he has a surfeit of suspects. There is the apparently grief-stricken bisexual boyfriend who stands to inherit Dorothy's not inconsiderable wealth: the stiff English father with terrible secrets in his past: the suave Arab, Mahmoud, who had raped her once: and Bundy, the owner of Casino Vegas and one-time friend of CV's, who has mysteriously disappeared. As CV uncovers layer upon layer of lies, cover-ups and secret assignations, he also finds himself falling hopelessly in love. But there is no time to lose, for there is soon another murder... Written with rare wit and charm, this intricately plotted whodunit sparkles with a wealth of details as it takes the reader to its astonishing finale and on the way provides a fascinating glimpse of life in Sri Lanka today.",-,140287140,-,Book,Murder in the Pettah,Rs. 885.00,-,-,20.5 x 13.5 x 3.5
Godage International Publishers,English,Ishira Liyanage,,2010,-,9789553022165,Book,My Exciting World Of Poetry,Rs. 300.00,-,42,14.5 x 21.0
Harper Collins India,English,Deepankar Mukhopaddhayay,"In this classic biography, originally published as The Maverick Maestro, Dipankar Mukhopadhyay recounts the life and times of an iconic film-maker, from his association with the Indian People's Theatre Association, which shaped his world view, to his experiences as a film maker.",2009-02-01,8172238355,9788172238353,Book,Mrinal Sen : Sixty Years In Search Of Cinema ,"Rs. 2,050.00",Paperback,316,-
Harper Collins,English, Lori Gottlieb,"Lori Gottlieb suggests the unthinkable: what if she, and single women everywhere, need to stop chasing the elusive Mr Perfect and instead opt for Mr Good Enough?",4 Mar 2010, 000736279X,9780007362790,Book,Mr Good Enough ,"Rs. 1,295.00",Paperback,336, 19.2 x 12.8 x 2.8 cm
Sunbird,English,Tamara Tesla,"With 365 puzzles, this book features the trickiest activities from the ""Puzzle Palace"" as well as crosswords, word searches and more.",01 March 2012,1409390942,9781409390947,Book,Moshi Monsters: Daily Challenge Puzzle Book,Rs. 890.00,Paperback,400,-
Viva,English,Abhijit Mallick,,2010,8130914719,9788130914718,Book,Principles Of Engineering Metallurgy,"Rs. 2,365.00",-,-,-
"Primal Nutrition, Inc",English,Mark Sisson,"A 21-day step-by-step guide to transforming your body forever, using the proven principles of the book ""The Primal Blueprint"". It helps you to achieve your genetic ideal weight, energy levels and physical tone and understand which workouts provide the best results with the least effort - and when to do them.",15 January 2012,982207778,9780982207772,Book,"Primal Blueprint 21-Day Total Body Transformation: A Step-by-Step, Gene Reprogramming Action Plan","Rs. 3,475.00",Paperback,180,27.7 x 21.3 x 1.4 cm
Godage International Publishers,English,Bhikkhuni Sudinna,,2010,-,9789553024084,Book,Precious Tales 2,Rs. 550.00,-,32,21.0 x 29.0
Hodder & Stoughton Ltd,English,Margot Campbell,Sculpt your body in 14 days,05 January 2012,1444738909,9781444738902,Book,Pilates on the Go ,"Rs. 3,230.00",Paperback,192,-
Harper Collins,English,Anna Selby,Martha Ann Selby is Assistant Professor of South Asian Studies at the University of Texas at Austin.,2008,7277865,9780007277865,Book,Pilates for Pregnancy: Gentle and Effective Techniques! for Before and After Birth,"Rs. 1,055.00",Paperback,176,-
godage International publishers,English,Ananda Meegama,,2008,-,9789553007933,Book,PHILIP GUNAWARDANA AND THE REVOLUTION IN SRI LANKA,Rs. 800.00,-,679,19*25
HarperVoyager,English,Terry Goodkind,"From internationally bestselling author Terry Goodkind, comes this outstanding epic adventure set in the captivating world of his classic Sword of Truth novels.",Jun 2007,7145659,9780007145652,Book,Phantom ,"Rs. 1,650.00",Paperback,643,6.93 x 4.45 x 1.46 inches
harper collins,English,Agatha Christie,"Agatha Christie's ingenious murder mystery, reissued with a striking new cover designed to appeal to the latest generation of Agatha Christie fans and book lovers. Nick Buckley was an unusual name for a pretty young woman. But then she had led an unusual life. First, on a treacherous Cornish hillside, the brakes on her car failed. Then, on a coastal path, a falling boulder missed her by inches. Later, an oil painting fell and almost crushed her in bed. Upon discovering a bullet-hole in Nick's sun hat, Hercule Poirot decides the girl needs his protection. At the same time, he begins to unravel the mystery of a murder that hasn't been committed. Yet.",2001,7282656,9780007282654,Book,Peril At End House,"Rs. 1,180.00",Paperback,-,-
Penguin,English,Ruskin Bond,,2003-03-30,140240667,9780140240665,Book,Penguin Book Of Indian Railway Stories,"Rs. 1,000.00",Paperback,184,7.6 x 5.1 x 0.5 inches
SRI SERENDIPITY PUBLISHING,English,Juliet Coombe,,-,-,9789550392087,Book,Paradise Exorcised Sri Lanka. Insider's Guide,"Rs. 2,800.00",-,129,150mm X 210mm
Oxford University Press,English,Elizabeth Knowles,,2009-11-23,199237174,9780199237173,Book,Oxford Dictionary of Quotations,"Rs. 7,500.00",Hardcover,-,7 x 2.6 x 9.5 inches
-,English,-,,-,-,9780194798815,Book,Oxford Advance Learners Dictionary - 9th edition,"Rs. 2,500.00",-,1500,-
Hachette India,English,Ratika Kapur,,2012,-,9789350092637,Book,Overwinter,"Rs. 1,725.00",Hardcover,248,-
-,English,-,,-,-,-,Book,Order - Netherlands (Jayantha),"Rs. 27,520.00",-,-,-
WILEY PUBLICATION,English,MICHAEL A.HITT/C.CHEAT MILLER/ADRIENNE COLELLA,,-,8126508655,-,Book,ORGANIZATIONAL BEHAVIOR ,"Rs. 1,400.00",-,590,-
"Shroff,o'reilly",English,Bill Hamilton,"Few .NET developers have the luxury of unlimited code testing once their application is complete, and rushing through the testing process is both problematic and stressful. The open source NUnit framework provides an excellent and efficient way to test and improve .NET code as it\'s written, saving hundreds of QA hours and headaches.",2004,8173667845,9788173667848,Book,Nunit Pocket REference,Rs. 330.00,Paperback,100,-
S. Godage & Brothers,English,Sakuntala Sachithanadan,"""Poetry took the prize when Sakuntala Sachithanandan won the 2010 Gratiaen for her collection ‘On the Streets and other Revelations’. Published by Godage, the collection of poems was praised by the panel of judges for its engagement with social issues and its emphasis on values such as justice and fair-play. Better known for her work as an author of children’s stories such as ‘Tales from the Treehouse, ’ Sakuntala appears to have come into her own as a poet with last night’s win."" Sakuntala was educated at Visakha Vidyala, Colombo, qualified as a lawyer at the Sri Lanka Law College, and is married to Thirukeswaram Sachithanandan, also a lawyer. She is fond of children, animals, reading, writing, painting, gardening and teaching children. She has published the children's book, Tales From The Tree House, and another children's book, The Adventures of Sokadi The Line-Room Mouse, is in the process of being published.",2010,-,9789553029409,Book,On the Streets and Other Revelations,Rs. 425.00,-,64,5.5 x 8.5
Harper Collins,English,Alistair Maclean,"The gripping tale of sabotage at sea, from the acclaimed master of action and suspense.",05 September 2005,7226373,9780007226375,Book,Santorini,"Rs. 1,475.00",Paperback,-,-
-,English,-,,-,-,-,Book,Sanitation Details,"Rs. 13,150.00",-,-,-
Harper Collins,English,Sam Bourne,,2008,7310889,9780007310883,Book,SAM BOURNE - BOX SET,"Rs. 2,800.00",-,384,-
HarperCollins India,English,Sampurna Chattarji,"She is running on dream walkways into the day that will dawn bright, like any other, hanging by a thread on a piece of news, a pendulum swinging from now to then, before to after, panic to peace to panic, capital to city, city to suburb, remembering to forgettingIn the course of twenty-four hours, nine characters across five cities are faced with a pressing need to examine their past. As each of them confronts the realities within, the world itself explodes into chaos, the disintegration of civic order mirroring the breakdown of individual sanities. A powerful first novel from a critically acclaimed poet, translator and fiction-writer, Rupture is a book in which every word, every emotion resonates with a heightened sense of intensity. Sampurna Chattarji brings to her writing a poetry and potency that is rare, and the sheer pace of the narrative pulls the reader in with its urgency.Author Bio: Sampurna Chattarji is the author of several books for young people, including The Greatest Stories Ever Told, Mulla Nasruddin and Three Brothers and the Flower of Gold. Her translation of Sukumar Rays poetry and prose, Abol Tabol: The Nonsense World of Sukumar Ray, was reissued in 2008 as a Puffin Classic under the title Wordygurdyboom! Her poetry collection, Sight May Strike You Blind, was published by the Sahitya Akademi in 2007 and reprinted in 2008. Her second novel, The Land of the Well, is forthcoming from HarperCollins India.",2009,8172237790,9788172237790,Book,Rupture,"Rs. 1,865.00",Paperback,360,-
Sphere,English,Ruth Field,"A tough-love exercise programme for the terminally unmotivated. When all else has failed, RUN!",05 January 2012,184744542X,9781847445421,Book,"Run, Fat Bitch, Run ",Rs. 520.00,Paperback,256,23 x 15.2 x 2.2 cm
Orion,English,Eric Van Lustbader,"Bourne's enemies are gathering force. Severus Domna, a secret and ancient cabal, has called on its members with one objective: to vanquish the last person capable of destroying their bid to de-stabilize the world economy - Jason Bourne. But how can they possibly succeed where so many others have failed? By turning Bourne's most trusted friend into his greatest - and most deadly - enemy. Boris Karpov has reached the pinnacle of his career. He has taken over one of the most powerful security organisations in the world - but at a price. Karpov agreed to a devil's pact with the former head, and now he has to deliver. But it's far worse than anything Karpov could have imagined - he must kill his oldest friend, Jason Bourne. Now Bourne finds himself in a world where friend and foe go hand-in-hand. Bourne's journey will lead him down a path of brutal murder and destruction - one from which there is no escape...",-,-,9781409121398,Book,Robert Ludlums the Bourne Dominion,Rs. 710.00,-,534,115mmX185
General Printing,English,Prasanna W. Jayewardene,,-,-,9789555022521,Book,Return To Heritage,Rs. 950.00,-,262,145mm X 215mm
HarperPerennial,English,Eenesto Che Guevara,The writings of one of the greatest icons of the twentieth century -- revolutionary leader Ernesto 'Che' Guevara. These diaries follow on from the events recorded in 'The Motorcycle Diaries' and recount the experiences that would make Che a figure known around the world.,05 March 2009,7322313,9780007322312,Book,Reminiscences Of The Cuban Revolutionary ,"Rs. 1,280.00",Paperback,336,-
Author Publication,English,Carl Muller,A new Collection of short stories from Sri Lanka's most prolific writer,-,-,9789550495030,Book,Read Me in Silence,Rs. 750.00,-,182,145mm X 210mm
Kandy Books,English,Nimal Sanderatne,,-,-,9789554076238,Book,Reflections & Perspectives,Rs. 750.00,-,208,145mmX220mm
