Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Type,Book Title,Price,Binding,Pages,Product Dimensions
Amy Schumer,Gallery Books,,2016-08-16,0008172382,978-0008172381,BOOKS,The Girl with the Lower Back Tattoo,"Rs. 1,300.00",Paperback,336,-
John Wiley & Sons Pte Ltd,John C Davis,"Thoroughly revised and updated, this new edition of the text that helped define the field continues to present important methods in the quantitative analysis of geologic data, while showing students how statistics and computing can be applied to commonly encountered problems in the earth sciences. In addition to new and expanded coverage of key topics, the Third Edition features new pedagogy, end-of-chapter review exercises, and an accompanying website that contains all of the data for every example and exercise found in the book. Contents same as US/UK editions.",2002,9814126454,9789814126458,BOOKS,"Statistics And Data Analysis In Geology, 3E","Rs. 2,050.00",-,638,-
Author Publications,Upatissa Attygalle,,-,-,9789555344609,BOOKS,The Girl on the Billboard and other stories,Rs. 450.00,-,148,130mm X 195mm
Alchemy,Shibnath Basu,"Benaras is globally, one of the rare and oldest sites to have had continuous inhabitation. Being the spiritual capital of Hindu religion, the city has a unique character and attraction. There is no place like Benaras and there would not be one, ever. No wonder photographers from all over the world have been flocking here since last century to catch the spirit of Benaras. But Benaras never tires of them. It is forever old. Hence forever new. Shibnath Basu’s rare sense of poetic sensibility once again makes it amply clear why Benaras is inexhaustive, why one may have seen Benaras a hundred times over and yet one never tires of its sights and sounds.",2011,818046072X,9788180460722,BOOKS,The Ghats Of Benaras,"Rs. 3,260.00",Hardcover,108,-
Social Scientists Association,A.P.Kanapathypillai,,-,-,9789551772970,BOOKS,The Epic of Tea,Rs. 500.00,-,164,150mm X 225mm
HarperCollinsChildren'sBooks,"Mary-kate Olsen, Ashley Olsen","Mary-Kate has a huge crush on a boy named Jordan, but is too shy to tell him how she feels. So Ashley starts writing love letters for her and sends them to him. She's thrilled when Jordan writes back to Mary-Kate. His letters are so sweet and funny and romantic... uh, oh! She's fallen for him too!",2004, 0007158831,9780007158836,BOOKS,The Facts About Flirting (Two of a Kind Diaries) ,Rs. 850.00,Paperback,112,-
Routledge,Graham Music,Are we born selfish or primed to help others?,2014-05-14,1848722273,9781848722279,BOOKS,"The Good Life: Wellbeing and the new science of altruism, selfishness and immorality","Rs. 5,400.00",Paperback,256,-
Harper Collins,Aniruddha Bahal,"This ambitious novel transports you to the heart of Greece in the time of the Great. Selecus, son of Nicanor, learns to cope with treachery at a very young age. It doesn’t take him long to master the art of deceit himself: his journey from renegade citizen to a powerful public figure is testimony to his skills. And from the exhilarating chariot race in Olympia to Alexander’s encounter with the Persian army on the banks of the Granicus, his story rivets you from beginning to end. Written with enormous gusto, and with a scholarship lightly worn, The Emissary is a truly wonderful patchwork of intrigue, betrayal, violence and military skullduggery in a distant world, epic in proportion and quite unputdownable.",-,817223998X,9788172239985,BOOKS,THE EMISSARY,"Rs. 3,225.00",Hardcover,460,-
Social Scientists' Association,Carl Muller,"The origin of,and flowering of modern English literature.",-,-,9789551772178,BOOKS,The Elizabethans,Rs. 800.00,-,250,247 x 177 x 13 mm
Harper Collins India,Rajeev Balasubramanyam,"Shashi: an actor, wealthy, famous, and letting go … of his career, his marriage, his mind, and now himself. Lisha: creator of Stoneman, her own private fantasy world within a comic book. Fragile and alone, except for her mother. In 1986, in Stonewall, Lancashire, Lisha doesn’t know she’s about to die. She doesn’t know that in the darkness outside, three boys are circling her house with minds full of hate. And she doesn’t know that, seventeen years into the future, a drunken actor lies unconscious in a London bedsit, fighting to save her life. A mind-bending portrait of post-traumatic breakdown, and a timely critique of our celebrity and success-based culture, The Dreamer is most of all a love story that unites Shashi and Lisha not only across time and space, but across death itself.",2010, 8172239998, 9788172239992,BOOKS,THE DREAMER,"Rs. 1,435.00",Paperback,320,-
Allen Lane,"Tirthankar Roy, Gurcharan Das","Sangam poetry dating back 2,000 years gives us a vivid description of ports and cities bustling with traders and markets which leaves us wondering at the vigorous trade that evidently flourished between the Tamil region and Rome and the Mediterranean world to the west, and South-East Asia to the east. The early medieval period takes us to a more complex polity dominated by the rise of powerful Tamil empires under the Pallava and Chola dynasties. The strengthening of the state apparatus was accompanied by the emergence of many administrative and representative institutions. In this larger landscape, merchants were key agents of growth and change. Towering over the region, both literally and figuratively, the temple emerged as the central, definitive institution dominating social and economic life in the region known as Tamilakam. The interface between the temple, state, society and merchants is the major theme of this study.",2012,0670085073,9780670085071,BOOKS,The East India Company: The World's Most Powerful Corporation ,"Rs. 1,485.00",Hardcover,240,-
S. Godage & Brothers,V. N. D. Nanayakkara,,2002,9552052408,-,BOOKS,THE ELECTRONIC FUND TRANSFER SYSTEM,Rs. 300.00,-,59,-
Jossey-bass,"Jennifer Aaker, Andy Smith, Carlye Adler",,2010,0470614153,9780470614150,BOOKS,"The Dragonfly Effect: Quick, Effective, And Powerful Ways To Use Social Media To Drive Social Change","Rs. 1,500.00",Hardcover,211,8.36 x 5.8 x 0.88 inches
Coronet Books,Rupert Sheldrake,The scientific counterargument to Richard Dawkin's The God Delusion,05 January 2012,1444727923,9781444727920,BOOKS,The Science Delusion,Rs. 540.00,Hardback,400,23.6 x 16.2 x 3.8 cm
Orbit,Terry Brooks,The second book in the internationally bestselling Shannara series.,05 October 2006,1841495492,9781841495491,BOOKS,The Elfstones of Shannara (Shannara Series),"Rs. 1,780.00",Paperback,624,-
Godage International Publishers,Keerthi Walisarage,,2009,-,9789553019462,BOOKS,The Doomed,"Rs. 1,000.00",-,232,14.5 x 21.0
Shree Book Centre,"Louise A Langley, Ahqulieah","T is said that some lives are connected by an ancient magic, linked across time by a great love and calling that echoes through the ages. It is said that this calling is the greatest alchemy of all, The sacred quest. Two girls, One calling, One maraculous destiny. This book, based on a true story, is a trail of synchronicity, evidence, decoding and revelation of a universal phenomenon hidden within the etymology of many ancient texts, civilisations, philosophies, theosophy, mythologies, religions, hermetic and Masonic writings, empirical science and alchemical tracts such as the Philosopher's Stone. Within the pages of this extraordinary book lies a unique and personal invitation to your own calling. As you begin to uncover that calling, your own Sacred Quest, you will come to know who you really are and what miraculous destiny true awaits you.",2012,190643705X,9781906437053,BOOKS,The Sacred Quest,"Rs. 1,965.00",paperback,-,-
Buddhist Publication Society,N K G Mendis,,1993,9552400678,-,BOOKS,The Questions Of King Milinda - An Abridgement Of The Milindapanha ,Rs. 300.00,-,194,-
Michael Joseph Ltd,Lesley Pearse,"It's London, 1914. Belle Reilly finally has the life she's dreamed of thanks to a devoted husband in Jimmy and the hat shop she's wanted to own since she was a child. But as the storm clouds of World War One begin to gather, Belle's already turbulent life is to change in ways she never imagined possible.",19 January 2012,0718157044,9780718157043,BOOKS,The Promise,"Rs. 3,820.00",Hardback,528,-
Harper Collins,Prof. S. Radhakrishnan,"The classic modern translation and complete compilation of the ancient Hindu texts that have dominated Indian philosophy, religion, and life for three thousand years.",20 Mar 2006,8172231245,9788172231248,BOOKS,The Principal Upanishads ,"Rs. 2,000.00",Paperback,960,21.2 x 14 x 5.4 cm
Asian Education Services,P E Pieris,,1928,812061139X,-,BOOKS,The Prince Vijaya Pala Of Ceylon ,Rs. 465.00,-,66,-
Vermilion,Gina Ford,Provides practical advice to new parents that works from one of the UK's most respected and most talked about maternity nurses.,06 April 2006,0091912695,9780091912697,BOOKS,The New Contented Little Baby Book: The Secret to Calm and Confident Parenting ,"Rs. 2,850.00",Paperback,368,8.4 x 5.3 x 1.1 inches
Harper Collins,Spencer Johnson,"Previously unpublished in the UK, this book shows how fathers can balance demands on their time to become the better parents to their children that they want to be and that their children deserve. With the pressures of 21st century working life an everyday topic of news and conversation, effective and rewarding advice for parents is more important than ever. The One Minute Father has become a buzzword of the current age, and this book is the quickest way to help your children learn to like themselves and to behave.",-,0007367007,9780007367009,BOOKS,The One Minute Father,"Rs. 1,010.00",Paperback,112,-
Godage International Publishers Pvt. Ltd.,Tilak Balasuriya,,2008,955209142X,-,BOOKS,The love of the minister's daughter,Rs. 250.00,-,80,14.0 x 21.5 cm
Harper Collins USA,Sara Shepard,,-,-,9780062091543,BOOKS,The Lying Game,Rs. 750.00,-,14,135mm X 205mm
LIFO PUBLISHERS PVT LTD,-,,-,-,-,BOOKS,THE LITTLE LIFO DICTIONARY ,Rs. 400.00,-,610,-
Piatkus,Nora Roberts,"The historic hotel in Boonsboro has endured war and peace, changing hands, even rumored hauntings. Now it's getting a major facelift from the Montgomery brothers and their eccentric mother. Beckett is the architect of the family, and his social life consists mostly of talking shop over pizza and beer. But there's another project he's got his eye on: the girl he's been waiting to kiss since he was fifteen. After losing her husband and returning to her hometown, Clare Brewster soon settles into her life as the mother of three young sons while running the town's bookstore. Busy, with little time for romance, Clare is drawn across the street by Beckett's transformation of the old inn, wanting to take a closer look . . . at the building and the man behind it. With the grand opening inching closer, Beckett's happy to give Clare a private tour - one room at a time. It's no first date, but these stolen moments are the beginning of something new - and open the door to the extraordinary adventure of what comes next . . .",-,-,9780749955366,BOOKS,The Next Always,"Rs. 1,930.00",-,341,150mm X 230mm
Profile Business,"Benoit B Mandelbrot, Richard L Hudson","From the world-famous inventor of fractal geometry, a revolutionary new theory that turns on its head our understanding of how markets work.",14 October 2004,1861977654,9781861977656,BOOKS,The MIS Behaviour of Market,"Rs. 1,305.00",Hardback,325,23.6 x 15.6 x 3.6 cm
SARASAVI PUBLICATION,ANRADHA SENEVIRATHNA,,-,9555731543,-,BOOKS,THE LIONS AND TIGERS ,Rs. 200.00,-,87,-
Harper Collins,Alistair Maclean,An undercover mission beyond the Iron Curtain to recover a defected scientist goes disastrously wrong -- a classic early Cold War thriller from the acclaimed master of action and suspense. Now reissued in a new cover style.,05 September 2005, 0007226349,9780007226344,BOOKS,THE LAST FRONTIER,"Rs. 1,475.00",Paperback,416,-
Arrow Books,John Grisham,Clay Carter gets involved in a horrendous conspiracy against one of the largest pharmaceutical companies which would make him the legal profession’s king of torts.,-,0099416174,-,BOOKS,The King of Torts,Rs. 565.00,-,-,11 x 17.8cm
Oxford University Press,Jim Corbett,"This is a richly illustrated anthology of the great hunter and conservationist's best writing, selected from his many popular works. The collection is meant to represent all phases of the great tiger hunter's life and adventures.",2004,019566874X,9780195668742,BOOKS,The Oxford India Illustrated Corbett,"Rs. 1,960.00",Paperback,304,10.04 x 7.4 x 0.77 inches
Foundation For Co-Existence,Kumar Rupesinghe,"This book consists the speeches delivered in numerous countries in Africa, Asia, Europe and the USA.",-,9551358242,-,BOOKS,The Voice,Rs. 500.00,-,256,210 x 147 x 14 mm
HARPER COLLINS PUBLISHERS,-,,-,1409531180E,-,BOOKS,THE USBORNE CHILDRENS ENCYCLOPEDIA ,"Rs. 2,300.00",-,320,-
Rupa Publications,R. K. Narayan,"Over a career spanning seven decades, R.K. Narayan, easily one of the most influential and important writers of India, populated the fictional town of Malgudi with a host of unforgettable characters: Swami and his gang of friends, the Talkative Man, Raju the guide and Sampath the printer, among many others. These characters have carved out a place for themselves in popular imagination and live on, still fresh and endlessly entertaining, many decades after they first appeared.",2014-01-15,8129131021,9788129131027,BOOKS,The Very Best of R. K. Narayan Timeless Malgudi : Selected Fiction and Non - Fiction ,"Rs. 1,650.00",Paperback,400,-
Harpercollins,Charles Cumming,Europe is still littered with the darkest secrets of the Cold War. And the most deadly revelation of them all is about to be made!,2011,0007337787,9780007337781,BOOKS,The Trinity Six ,"Rs. 1,665.00",Paperback,416,-
Grand Central,James Redfield,,-,-,9781455509010,BOOKS,The Twelfth Insight,Rs. 840.00,-,256,115mmX175mm
Harper Collins,-,The eighth installment of the best-selling Times Su Doku series to feed the nation's desire for yet more Su Doku puzzles., 23 June 2011,0007451881,9780007451883,BOOKS,The Times Su Doku Book 8 ,Rs. 770.00,-,256,-
Times Books,-,"With the massive appetite for Su Doku puzzles seemingly insatiable, The Times brings you another offering to satisfy those cravings.",23 June 2011,0007451873, 9780007451876,BOOKS,The Times Su Doku Book 7,Rs. 780.00, Paperback,256,-
HarperCollins Publishers Ltd,Wayne Gould,,01 December 2009,0007832656,9780007832644,BOOKS,THE TIMES SU DOKU BOOK 3,Rs. 770.00,Paperback,-,-
HarperCollins Publishers Ltd,Wayne Gould,,01 December 2009,000783263X,9780007832637,BOOKS,THE TIMES SU DOKU BOOK 4,Rs. 770.00,Paperback,-,-
Times Books,Wayne Gould,The first Times Su Doku book sparked a worldwide publishing phenomenon -- sales have topped 4 million copies worldwide since March 2005.,23 June 2011,0007451857,9780007451852,BOOKS,The Times Su Doku Book 5: The Original Best-selling Puzzle,Rs. 770.00,Paperback,192,-
HarperCollins Publishers Ltd,Wayne Gould,,01 December 2009,0007832656, 9780007832651,BOOKS,THE TIMES SU DOKU BOOK 2 ,Rs. 770.00,Paperback,-,-
Natraj Publishers,Frank S. Smythe,,2001,8181581407,9788181581402,BOOKS,THE VALLEY OF FLOWERS ,"Rs. 1,500.00",Paperback,-,-
Times Books,-,"To feed the nation's addiction further, here is the sixth installment of The Times Su Doku puzzles.", 23 June 2011,0007451865,9780007451869,BOOKS,The Times Su Doku Book 6 ,Rs. 770.00,Paperback,256,-
HarperCollins Publishers Ltd,Wayne Gould,,01 December 2009,0007832664,9780007832668,BOOKS,THE TIMES SU DOKU BOOK 1,Rs. 770.00, Paperback,35,17.4 x 11.2 x 1.2 cm
penguin books,"Sophocles, E. F. Watling",,26 April 1973,0140440038,9780140440034,BOOKS,The Theban Plays,Rs. 660.00,Paperback,176,130mmX195mm
Suwanda Sugunasiri,Suwanda Sugunasiri,,-,-,9780986719806,BOOKS,Untouchable Woman's Odyssey,Rs. 350.00,-,366,145mmX215mm
Sage India,"Kiran B Chhokar, Mamata Pandya, Meena Raghunathan","Designed as a basic text for foundation and undergraduate courses in Environmental Studies, this book introduces students to key scientific concepts related to environment and sustainable development. It provides a comprehensive understanding of environmental concerns and issues with special reference to the Indian context. The primary objective of the book is to create an awareness of the environment. It conceptualizes the environment as a multidimensional and complex living system and describes the interlinkages that make up this system. The presentation is supported by relevant examples and case studies to contextualize the information given. Questions and self-learning exercises are provided at the end of each chapter to assist students to understand and apply the content in their immediate environment.",08 November 2004,0761932771,9780761932772,BOOKS,Understanding Environment,Rs. 845.00,Paperback,336,9.22 x 7.12 x 0.58 inches
-,Shirin Ebadi,,2016-03-21,1846045010,9781846045011,BOOKS,Until We Are Free,"Rs. 2,600.00",-,Paperback,-
Harper Voyager,Stacia Kane,"The second book in this edgy urban fantasy trilogy. If you liked the compelling characters in 50 Shades of Grey, you'll love the Downside Ghosts series.",2010, 0007343256,9780007343256,BOOKS,Unholy Magic,"Rs. 1,665.00",Paperback,352,7.72 x 5 x 0.91 inches
BLOOMSBURY PUBLICAIONS,J.K.ROWLING,,-,0747599876,-,BOOKS,THE TALES OF BEEDLE THE BARD ,"Rs. 1,200.00",-,108,-
 Harper Collins,"Mary-kate Olsen, Ashley Olsen",Mary-Kate and Ashley know there's only room for one Prom Princess at White Oak -- so who will it be?,2004, 0007158904,9780007158904,BOOKS,Two Of A Kind Prom Princes,Rs. 755.00,Paperback,112,-
Harper Voyager,Stacia Kane,"The first book in a compelling new urban fantasy series, The Downside Ghosts. Murderous spirits and ruthless drug dealers combine to create serious problems for fiercely independent heroine, Chess, in these fast-paced, sexy and addictive novels. If you liked the compelling characters in 50 Shades of Grey, you'll love the Downside Ghosts series.",2010,0007352816,9780007352814,BOOKS,Unholy Ghosts,"Rs. 1,665.00",Paperback,352,7.8 x 5.08 x 0.91 inches
Harper Collins Publishers Ind Ltd,"Mary-kate Olsen, Ashley Olsen","Oh no! Mary-Kate and Ashley have to do history projects. But Ashley's found a way to make her project fun - she's partners with Pokey Valentine, the boy of her dreams. It's the perfect way to get close to him. The only problem is, Pokey would rather get close to someone else... Mary-Kate!",2002,0007144776,9780007144778,BOOKS,Two Of A Kind One Twin Too Many,Rs. 790.00,Paperback,112,-
Wiley India Pvt Ltd,"STEPHEN LAMBERT, ELI HOLZMAN",,2012,8126534257,9788126534258,BOOKS,UNDERCOVER BOSS: INSIDE THE TV PHENOMENON THAT IS CHANGING BOSSES AND EMPLOYEES EVERYWHERE,"Rs. 1,900.00",Paperback,272,-
Cambridge International Science Publishing,Scott Jasper,,2010, 8130912449, 9788130912448,BOOKS,Transforming Defense Capabilities,"Rs. 3,300.00",-,-,-
sterling publisher,-,"The best and most effective way to develop language skills in children is through the medium of stories. Retold in simple language for young readers, the fascinating stories in this book will keep them engrossed for hours.",-,8120757777,9788120757776,BOOKS,Timeless Stories,Rs. 830.00,-,19,220mm X 290mm
HarperCollinsChildren'sBooks,"Mary-kate Olsen, Ashley Olsen","Mary-Kate and Ashley star as twins Chloe and Riley Carlson in this new series, based on the hit TV show, ""So Little Time"".",2002, 0007144490,9780007144495,BOOKS,Too Good To Be True:mary Kate & Ashley,Rs. 850.00,Paperback,128,-
Riverhead Books,Daniel H Pink,,2012-01-31,159448628X,9781594486289,BOOKS,To Sell Is Human - Exp: The Surprising Truth about Moving Others,"Rs. 3,240.00",Paperback,256,-
ARROW BOOKS LTD,James Patterson,,2011-11-24,0099553767,9780099553762,BOOKS,Tick Tock,Rs. 690.00,Paperback,484,110mm X 180mm
HarperCollins,Clive Cussler,"Classic Dirk Pitt adventure, where the adventurer is drawn to the burning African desert, and a secret that could destroy all life in the world's seas. Deep in the African desert, Pitt discovers that a top-scinetific installation is leaking a lethal chemical into the rivers, threatening to kill thousands of people -- and to destroy all life in the world's seas. To warn the world of catastrophe, Pitt must escape capture and death at the hands of a ruthless West African dictator and French industrialist, and undertake a long, perilous journey across the merciless Sahara!",1989, 0007353294,9780007353293,BOOKS,Treasure ,"Rs. 1,865.00",Paperback,608,-
Harper Collins,Doris Lessing,Assembled here for the first time in book form are the very best of several decades' worth of occasional writings from perhaps the best-loved and most-admired of Britain's great female writers.,2005,0007179863,9780007179862,BOOKS,Time Bites,Rs. 900.00,Paperback,384,-
HarperCollins Publishers Ltd,Gelb Kichael,"New edition, including a new introduction by the author, of this inspiring guide to developing your full potential. A perfect buy for the business market as well as those wishing to explore their power of their brain, this book shows you how to imitate Leonardo Da Vincis thought processes and so enhance your aptitude in every area of your life. Learn how to fulfill your true potential by developing the thought processes used by Renaissance master Leonardo Da Vinci. Simply by imitating hisinsatiable quest for information and experience, we can all enhance our own aptitude in all facets of our lives. Michael Gelb discusses the seven fundamental elements of Da Vincis thought process and offers practical ways to incorporate them into our own lives. The techniques outlined in the book help readers to develop the same traits of whole-brain thinking, creative problem solving and continuous learning, all of which are vital in todays world. Numerous exercises, anecdotes and illustrations help readers to master these techniques and create a personal and professional renaissance of their very own.", 23 July 2009, 0007341695,9780007341696,BOOKS,Think Like Da Vinci,"Rs. 1,500.00",Paperback,336,-
Ravaya,Latheef Farook,,-,-,-,BOOKS,Thrasthawadayata erehi uddaye sebe muhunuwara,Rs. 600.00,-,557,-
Wiley India Pvt Ltd,"Dafydd Stuttard, Marcus Pinto",,2011,8126533404,9788126533404,BOOKS,The Web Application Hacker'S Handbook: Finding And Exploiting Security Flaws ,"Rs. 3,150.00",Paperback,912,-
Rama Brothers,Bisaria,,2009,8175812583,9788175812581,BOOKS,The Way Of The World,Rs. 395.00,Paperback,-,-
Buddhist Publication Society,Soma Thera,"The way of mindfulness is the objective way of viewing anything whatsoever. It reckons just what is present and stopping the garrulity of one's own mind. It lets the objects speak for themselves and unfold their character also, by its patient pursuit of the meaning of things, its readiness to see every side of any thought or experience, and by its breadth and tolerance. It predisposes the mind to receive the impressions of the truth, includes inner pliancy and the mood of spiritual receptivity, necessary for highest intuition.",1941,9552402565,-,BOOKS,The Way Of Mindfulness ,Rs. 225.00,-,156,-
Hay House India,Wayne Dyer,"This book is dedicated to your mastery of the art of realizing all your desires. The greatest gift you have been given is the gift of your imagination. Everything that now exists was once imagined. And everything that will ever exist must first be imagined. Wishes Fulfilled is designed to take you on a voyage of discovery, wherein you can begin to tap into the amazing manifesting powers that you possess within you and create a life in which all that you imagine for yourself becomes a present fact.Dr. Wayne W. Dyer explores, for the first time, the region of your highest self: and definitively shows you how you can truly change your concept of yourself, embark upon a God-realized way of living, and fulfill the spiritual truth that with God all things are possible-and ""all things"" means that nothing is left out.",2012,9381431276,9789381431276,BOOKS,Wishes Fulfilled: Mastering The Art Of Manifesting,"Rs. 1,350.00",Paperback,224,-
Motilal Banarsidass,David Frawley,"This book is the first translation of The Rig Veda, which is not only one of the oldest sacred scriptures of the world but also one of the most misunderstood and it is fountainhead of the spiritual traditional of India and the oldest text in any Indo-European language. And also it is a compendium of wisdom, poetry, mythology, riddles and above all Yogic and meditation insights which are relevant for all who wish to understand the deeper spiritual impulses behind human civilization. The author has included the explanatory chapters on the main line of Vedic hymns, which begin with hymns to Agni, India, the Sun Gods and the ninth mandala, for Soma. This book consists of seven chapters.",1992,8120811593,-,BOOKS,Wisdom Of The Ancient Seers - Mantras Of The Rig Veda ,Rs. 550.00,Hardcover,275,-
Harper Collins India,Janhavi Acharekar,"These charming portraits of young girls living far from home, 'secure' in their illicit relationships, of young men full of RSS swagger, of old women waiting late in the night for their grown-up children to come home, capture the lives of ordinary people in vivid and varied hues. Spread across the socio-economic spectrum, these stories are like snapshots of interesting faces in a crowd: faces around whom the author deftly sketches lives and longings, pet ideas and prejudices, loves and hates with bold, confident strokes. From 'Ganesha', the story of a middle-class housewife waiting for her son to return at night and thinking of her other son who died in a road accident, to 'A Game of Cards' about a young urban woman sunning herself on the beach, these pithy sketches are a colourful montage of modern Indian life.",2009, 8172238002,9788172238001,BOOKS,Window Seat,"Rs. 1,475.00",Paperback,256,-
Rama Brothers,Chaucer,,2004,8175812222,9788175812222,BOOKS,Wife of Baths Prologue and Tale,Rs. 230.00,Paperback,-,-
Scribner Book Company,David Quammen,"A two-time winner of the ""National Magazine"" Award takes readers from the central Amazon to the streets of New York to explore scientific facts, ideas, and wonders. In ""Wild Thoughts from Wild Places,"" award-winning journalist David Quammen reminds us why he has become one of our most beloved science and nature writers. This collection of twenty-three of Quammen's most intriguing, most exciting, most memorable pieces takes us to meet kayakers on the Futaleufu River of southern Chile, where Quammen describes how it feels to travel in fast company and flail for survival in the river's maw. We are introduced to the commerce in pearls (and black-market parrots) in the Aru Islands of eastern Indonesia. Quammen even finds wildness in smog-choked Los Angeles -- embodied in an elusive population of urban coyotes, too stubborn and too clever to surrender to the sprawl of civilization. With humor and intelligence, David Quammen's ""Wild Thoughts from Wild Places"" also reminds us that humans are just one of the many species on earth with motivations, goals, quirks, and eccentricities. Expect to be entertained and moved on this journey through the wilds of science and nature.",Mar 1999,068485208X,9780684852089,BOOKS,Wild Thoughts from Wild Places,"Rs. 3,125.00",Paperback,304,8.36 x 5.56 x 0.81 inches
Harper collins,Agatha Christie,"Agatha Christie is the bestselling author of all time. She has sold over two billion books worldwide and has been translated into over 45 languages. In a writing career that spanned more than half a century, Agatha Christie wrote eighty novels and short story collections. She also wrote over a dozen plays, including The Mousetrap, which is now the longest running play in theatrical history. Christie's first novel, The Mysterious Affair at Styles, was the first to feature her eccentric Belgian detective Hercule Poirot. One of the most famous fictional creations of all time, Poirot's 'little grey cells' triumphed over some of the most devious criminal minds ever created in crime fiction. Christie’s last published novel, Sleeping Murder, featured her other world-famous sleuth, the shrewdly inquisitive Miss Jane Marple of St. Mary Mead. Miss Marple appears in twelve novels, and twenty short stories: the first novel to feature her was The Murder at the Vicarage in 1930. The Poirot and Marp",2009,0007299788,9780007299782,BOOKS,Why Didnt They Ask Evans? ,"Rs. 1,180.00",Paperback,-,-
Gollancz,Ben Aaronovitch,A gripping new outing for PC Grant in the SUNDAY TIMES-bestselling series from Ben Aaronovitch.,15 March 2012,0575097647,9780575097643,BOOKS,Whispers Under Ground ,"Rs. 2,570.00",Hardcover,384,-
Harper Collins,Alistair Maclean,"From the acclaimed master of action and suspense. The all time classic Millions of pounds in gold bullion are being pirated in the Irish Sea. Investigations by the British Secret Service, and a sixth sense, have bought Philip Calvert to a bleak, lonely bay in the Western Highlands. But the sleepy atmosphere of Torbay is deceptive. The place is the focal point of many mysterious disappearances. Even the unimaginative Highland Police Sergeant seems to be acting a part. But why? This story is Alistair MacLean at his enthralling best. It has all the edge-of-the-seat suspense, and dry humour that millions of readers have devoured for years.",2008, 0007252943,9780007252947,BOOKS,When Eight Bells Toll,"Rs. 1,475.00",Paperback,384,-
Singapore Buddhist Meditation Centre,K Sri Dhammananda Thera,"This book, 'What Buddhists Believe' answers many questions which are asked about Buddhism by Buddhists and non-Buddhists alike. This is already a classic in that it has been proved to be extremely popular not only with practicing Buddhists who are born into the religion, but also those who are really interested in knowing what the Buddha taught.This book has 17 chapters in the following six parts of this book: Life and Message of the Buddha, Buddhism: Essence and Comparative Approaches, Leading a Buddhist Life, Human Life in Society, a Religion for Real Human Progress, and This World and Other Worlds. The aim of this book is to introduce the original teaching clearly and without recourse to exaggeration, cultural implications or disparaging of particular schools of Buddhism, so that the reader can understand the Buddha Dhamma in its modern context.This book is written in clear and precise language which will appeal not only to the casual reader but also to the intellectual student of the Dhamma. Directed mainly to an average person, this book adopts a non-textual approach to explain the Buddhist viewpoint on a wide range of doctrinal and contemporary topics, including those not normally touched upon by traditional Buddhist writers.",2006,9810411774,-,BOOKS,What Buddhists Believe ,Rs. 550.00,Hardcover,380,-
The Perseus Books Group,Thomas Sowell,,2015-09-08,0465082939, 9780465082933,BOOKS,"Wealth, Poverty and Politics","Rs. 6,100.00",Hardcover,-,-
Spruce,Jon Izzard,,02 October 2009,1846013461,9781846013461,BOOKS,Werewolves,"Rs. 1,300.00",Paperback,192,190mmX235mm
Penguin Books Ltd,"Aristophanes,D. Barrett","This collection contains ""The Wasps"", one of Aristophanes' earliest plays, ""The Poet and the Women"", a gem of parody and low comedy, and ""The Frogs"", a comic masterpiece written under the shadow of defeat.",28 May 1970,0140441522,9780140441529,BOOKS,Wasps Poet and the Women,"Rs. 1,415.00",Paperback,224,17.8 x 10.9 x 1.3 cm
Foundation for Co-existence,Kumar Rupesinghe,A collection of papers from 2002 - 2008 on War and Peace in the country.,-,-,9789551358181,BOOKS,Waging Peace,Rs. 500.00,-,454,206 x 146 x 20 mm
Studymates Limited,Chris Sangster,,2010,8130913054, 9788130913056,BOOKS,Viva Studymates: Growing Workplace Champions ,"Rs. 1,285.00",-,-,-
Wiley India Pvt. Ltd.,David Sibbet,,2011,8126533714,9788126533718,BOOKS,"Visual Teams: Graphic Tools For Commitment, Innovation, And High Performance ","Rs. 2,000.00",Paperback,286,-
Rama Brothers India Pvt Ltd,"Vaidyanathan G,Rama Brothers India Pvt Ltd,9788175812598",,2008,8175812591,9788175812598,BOOKS,Village By The Sea: Anita Desai,Rs. 330.00,Paperback,-,-
Faber and Faber,D. B. C. Pierre,,2004-05-06,0571215165,9780571215164,BOOKS,Vernon God Little ,"Rs. 1,250.00",Paperback,288,-
"Grey Oak,Westland",Ahmed Faiyaz,"Edited by bestselling author, Ahmed Faiyaz, this anthology explores the conflict, chaos and confusion in the lives of interesting and colourful characters in Urban India. The reclusive kid with a beautiful bicycle: a migrant to Mumbai with Old Monk on his breath, trying to get off a Virar Fast at Borivali: the misunderstood watchman at the library who befriends a little girl:a playstation loving spoilt brat, who is smitten by his mathematics tutor: an old widower who longs for some intimacy with the opposite sex: a confused writer who has to choose between his wife and a seductress: the gargoyle who is the boss s pet at a call centre: a mild-mannered doctor whose love for yoga puts him on breaking news: a project manager who hates handing out the pink slip: an emotionally scarred woman in the bazaars of Kamathipura: the baraat on a silent night in a one-horse town in Rajasthan: the neighbourhood didi with dark secrets of her own and a lot more.. Racy, compelling and heart rending stories by popular writers such as Pantosh Uttam, Reeti Gadekar, Sharath Komarraju, Malcolm Carvahlo, and a number of popular bloggers and debutant writers.",2012,9381626429,9789381626429,BOOKS,Urban Shots: Crossroads,Rs. 990.00,Paperback,228,-
-,-,,-,-,-,BOOKS,Who Took All The Paperclips?: Fun Things To Do With Office Suppl,"Rs. 1,830.00",-,-,-
